,game_idx,ai_treatment,hint_treatment,is_tutorial_game,reward,hit_goals,designed_goals,player0_move,player1_move
6844,810,1,1,False,10,"(1, 3)","(1, 3)","[2, 2, 2, 1, 1, 2, 2, 1, 1, 3]","[0, 0, 0, 0, 4, 4, 4, 4, 4, 4]"
6845,101,1,1,False,10,"(0, 2)","(0, 2)","[2, 0, 2, 2, 2, 2, 4, 4]","[1, 3, 3, 3, 3, 3, 0, 0]"
6846,583,1,1,False,10,"(0, 2)","(0, 2)","[0, 0, 0, 0, 0, 2, 2, 0, 3]","[1, 2, 1, 1, 2, 1, 4, 4, 4]"
6847,769,1,1,False,4,"(1, 2)","(0, 2)","[2, 1, 1, 1, 1, 3, 1, 3]","[0, 0, 0, 3, 4, 4, 4, 4]"
6848,853,1,1,False,4,"(0, 3)","(1, 3)","[2, 1, 1, 1, 3, 4]","[3, 3, 3, 3, 3, 3]"
6849,498,1,1,False,4,"(1, 2)","(0, 2)","[2, 0, 3, 2, 0]","[1, 1, 3, 3, 3]"
6850,821,1,1,False,4,"(0, 3)","(1, 3)","[1, 1, 1, 1, 1, 1, 3, 3, 3, 4, 4]","[0, 0, 2, 2, 2, 2, 2, 1, 1, 1, 3]"
6851,119,1,1,False,10,"(1, 3)","(1, 3)","[1, 2, 2, 1, 3, 1, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4]","[3, 1, 1, 1, 3, 3, 3, 3, 0, 0, 3, 3, 0, 0, 0, 2]"
6852,367,1,1,False,10,"(0, 2)","(0, 2)","[0, 0, 0, 0, 2, 4, 4, 4]","[3, 3, 0, 0, 3, 3, 3, 3]"
6853,283,1,1,False,-10,"(1, -1)","(0, 2)","[3, 4, 4, 4, 4, 4]","[0, 0, 0, 2, 2, 2]"
6854,848,1,1,False,10,"(1, 3)","(1, 3)","[1, 1, 1, 1, 3, 3, 3, 3, 3, 3]","[0, 0, 0, 2, 2, 4, 4, 4, 4, 4]"
6855,134,1,1,False,-10,"(0, -1)","(1, 3)","[3, 4, 4, 4, 4, 4]","[1, 3, 3, 1, 1, 3]"
6856,709,1,1,False,4,"(1, 2)","(0, 2)","[2, 2, 2, 1, 1, 1]","[1, 2, 2, 2, 4, 4]"
6857,16,1,1,False,10,"(0, 2)","(0, 2)","[2, 2, 2, 2, 2]","[2, 2, 2, 0, 0]"
6858,28,1,1,False,10,"(0, 2)","(0, 2)","[2, 2, 2, 2, 2, 1, 1, 2, 2, 0]","[0, 0, 3, 3, 4, 4, 4, 4, 4, 4]"
6859,52,1,1,False,4,"(1, 2)","(0, 2)","[2, 2, 0, 0, 0]","[1, 1, 3, 3, 4]"
6860,240,1,1,False,10,"(1, 3)","(1, 3)","[0, 0, 0, 3, 3]","[0, 0, 2, 2, 2]"
6861,976,1,1,False,10,"(0, 2)","(0, 2)","[0, 0, 0, 3, 3, 0, 0, 3, 3, 1]","[1, 1, 3, 3, 4, 4, 4, 4, 4, 4]"
6862,235,1,1,False,10,"(1, 3)","(1, 3)","[2, 2, 2, 1, 2, 2, 2]","[0, 2, 2, 0, 4, 4, 4]"
6863,835,1,1,False,4,"(1, 2)","(0, 2)","[1, 1, 1, 1, 1, 1]","[1, 1, 3, 3, 4, 4]"
6864,1001,0,1,True,10,"(1, 3)","(1, 3)","[4, 4, 4, 4, 2, 2, 2, 2]","[0, 3, 3, 3, 4, 4, 4, 4]"
6865,1002,0,1,True,10,"(0, 2)","(0, 2)","[1, 1, 1, 1, 3, 3, 3, 3, 2, 0, 0, 0, 3, 3, 3]","[1, 2, 1, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
6866,1003,0,1,True,10,"(0, 2)","(0, 2)","[0, 3, 3, 0, 3, 3, 3, 0, 0, 0]","[1, 1, 3, 3, 3, 4, 4, 4, 4, 4]"
