,human_belief,treatment,game_idx,designed_goal,player0_move,player1_move
70,1,0,155,0,"[2, 2, 0, 0, 2, 2, 2]","[2, 2, 0, 0, 2, 2, 2]"
71,1,0,124,0,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
72,1,0,23,1,"[1, 2, 1, 1]","[1, 2, 1, 1]"
73,0,0,235,1,"[1, 3, 3, 0, 0, 3]","[1, 3, 3, 0, 0, 3]"
74,0,0,55,1,"[2, 2, 0, 0, 0, 2]","[2, 2, 0, 0, 0, 2]"
75,1,0,36,0,"[2, 2, 1, 1, 1, 1]","[2, 2, 1, 1, 1, 1]"
76,1,0,132,0,"[1, 1, 2, 2]","[1, 1, 2, 2]"
77,0,0,109,0,"[0, 0, 3, 0, 0, 0]","[0, 0, 3, 0, 0, 0]"
78,0,0,167,0,"[1, 1, 2, 2]","[1, 1, 2, 2]"
79,0,0,130,0,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
80,1,0,175,0,"[1, 1, 1, 3, 3]","[1, 1, 1, 3, 3]"
81,1,0,17,0,"[1, 1, 2, 2, 2, 2, 2, 2]","[1, 1, 2, 2, 2, 2, 2, 2]"
82,1,0,43,1,"[3, 3, 0, 0, 0]","[3, 3, 0, 0, 0]"
83,1,0,46,1,"[0, 0, 2, 2]","[0, 0, 2, 2]"
84,1,0,198,0,"[3, 1, 1, 2]","[3, 1, 1, 2]"
85,1,0,28,0,"[2, 0, 0, 0]","[2, 0, 0, 0]"
86,1,0,40,0,"[2, 0, 0, 0, 0]","[2, 0, 0, 0, 0]"
87,0,0,115,0,"[0, 0, 0, 3, 3, 0, 3]","[0, 0, 0, 3, 3, 0, 3]"
88,1,0,139,1,"[1, 2, 1, 1]","[1, 2, 1, 1]"
89,1,0,141,1,"[3, 1, 1, 3, 3, 3]","[3, 1, 1, 3, 3, 3]"
90,0,1,177,0,"[2, 2, 1, 2]","[2, 2, 1, 2]"
91,0,1,25,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
92,1,1,67,1,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]"
93,0,1,30,1,"[1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1]"
94,1,1,81,0,"[0, 0, 0, 1]","[0, 0, 0, 1]"
95,0,1,179,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
96,1,1,9,0,"[0, 0, 0, 3]","[0, 0, 0, 3]"
