idx,move
1895,"[0, 0, 0, 2, 2, 2, 2]"
2422,"[3, 3, 3, 3, 0]"
675,"[3, 3, 3, 3, 1, 1]"
1687,"[3, 3, 3, 1, 3]"
1986,"[3, 0, 0, 0, 0, 0, 2]"
1533,"[3, 0, 0, 1, 3, 3, 3, 3, 0]"
319,"[2, 2, 2, 2, 0, 0, 0, 0, 2]"
2360,"[1, 1, 1, 1, 2]"
796,"[3, 3, 3, 0, 0, 3, 3]"
2218,"[3, 3, 1, 1, 1, 1]"
2615,"[1, 1, 3, 3, 1, 1, 3]"
1986,"[3, 0, 0, 0, 0, 0, 2]"
1034,"[0, 0, 3, 3, 3, 3, 3, 1]"
3273,"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
2751,"[1, 3, 3, 3, 3, 3, 0]"
3005,"[0, 0, 3, 3, 3, 3, 3, 0, 0]"
3118,"[1, 1, 3, 3, 1, 1, 3, 1]"
3183,"[2, 2, 2, 2, 1, 1, 2, 1, 1, 1]"
3087,"[1, 1, 1, 1]"
758,"[3, 3, 3, 3, 1, 1, 3]"
569,"[2, 2, 2, 0, 2]"
2031,"[3, 3, 3, 3, 0]"
287,"[0, 0, 3, 3, 3, 3, 1, 1, 1, 1]"
1736,"[0, 0, 3, 3, 3, 3]"
649,"[0, 0, 0, 1, 3, 3, 3, 3]"
1085,"[0, 0, 0, 3, 3, 3, 3, 3]"
143,"[2, 2, 2, 1, 1, 1, 1, 1]"
3126,"[3, 3, 3, 3, 2, 0, 0, 0, 0, 0]"
2630,"[2, 2, 2, 0, 0, 0, 0, 2, 2]"
2125,"[0, 0, 0, 0, 0]"
2241,"[0, 0, 0, 2, 2, 2, 2, 2]"
620,"[2, 2, 3, 1, 1, 1, 1]"
964,"[0, 0, 0, 0, 2, 2, 2, 2, 2]"
1078,"[0, 0, 0, 0, 3, 3]"
249,"[2, 2, 2, 2]"
3227,"[3, 3, 0, 0, 2, 0, 0]"
698,"[3, 2, 2, 0, 0, 2, 0, 0]"
228,"[0, 0, 0, 3, 3, 3, 3, 0]"
3124,"[3, 3, 3, 3, 3]"
2600,"[3, 0, 0, 0, 0, 0]"
1688,"[3, 3, 3, 3]"
2496,"[1, 1, 1, 1]"
1242,"[1, 1, 1, 2, 2, 2, 2, 2, 0]"
1065,"[1, 2, 2, 2, 2, 0, 0]"
2899,"[3, 3, 0, 0, 0, 0, 0]"
2754,"[1, 1, 1, 1, 3]"
911,"[1, 1, 1, 1, 3, 3, 3, 3, 0]"
1053,"[1, 1, 2, 2, 1, 1, 1, 2, 2, 2]"
1965,"[0, 3, 3, 3, 3, 3]"
1027,"[1, 2, 2, 2, 2, 2]"
2864,"[0, 3, 3, 0, 0, 0, 0]"
2419,"[3, 3, 3, 1, 1, 1, 1, 1]"
3154,"[0, 1, 1, 2, 2, 2, 2]"
1899,"[0, 0, 0, 0, 0]"
1389,"[3, 3, 3, 3]"
2486,"[0, 0, 0, 0, 0]"
1186,"[3, 1, 1, 1, 1, 1]"
1699,"[1, 1, 1, 2, 1, 2]"
1337,"[2, 0, 2, 0, 0, 0, 0]"
758,"[3, 3, 3, 3, 1, 1, 3]"
3125,"[1, 1, 1, 1, 2, 2]"
1297,"[3, 3, 3, 3, 1, 1]"
1512,"[1, 3, 3, 3, 3, 3, 1]"
2081,"[1, 1, 1, 1, 1, 2]"
454,"[3, 3, 3, 3, 3, 0, 0]"
1991,"[2, 2, 2, 2, 1, 0, 2, 0, 0, 0]"
2664,"[3, 0, 0, 0, 0, 2, 2, 2]"
2501,"[0, 0, 2, 2, 2, 2, 2, 0]"
2094,"[1, 1, 2, 2, 2, 2]"
397,"[2, 0, 0, 0, 2, 0]"
3182,"[0, 0, 2, 2, 2, 2, 0]"
739,"[3, 1, 1, 1, 3, 3, 1]"
1829,"[3, 3, 3, 3, 0, 0, 0]"
1534,"[1, 1, 2, 2, 2, 2]"
2693,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
1892,"[1, 3, 3, 3, 3, 3, 0, 0]"
1226,"[2, 2, 2, 2, 1, 1, 1, 2]"
394,"[1, 1, 2, 2, 2, 2, 2]"
3008,"[1, 1, 1, 1, 3, 3, 3, 3, 3]"
2710,"[0, 2, 2, 0, 0, 0, 0, 1]"
2644,"[3, 3, 3, 3, 3, 1]"
309,"[0, 2, 2, 2, 0, 0, 0]"
841,"[3, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
3181,"[1, 2, 2, 2, 2, 0, 2]"
654,"[2, 0, 0, 0, 0]"
392,"[1, 1, 3, 3, 3, 3, 1, 1, 1]"
2236,"[2, 2, 2, 2, 0, 0]"
2404,"[2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 3]"
1004,"[3, 3, 3, 3, 3, 1, 1, 1]"
3247,"[3, 3, 3, 3, 3, 1, 1, 1]"
1778,"[2, 1, 1, 1, 1]"
2821,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
3195,"[3, 3, 3, 3, 1, 1, 1, 1, 1]"
824,"[1, 1, 1, 1, 1, 2, 2, 2]"
406,"[0, 0, 2, 0, 0, 0, 3]"
1715,"[2, 1, 1, 2, 1, 1, 3, 3, 3]"
214,"[2, 2, 2, 2, 2, 1, 1, 1]"
1651,"[0, 0, 0, 0, 3]"
2501,"[0, 0, 2, 2, 2, 2, 2, 0]"
523,"[2, 2, 2, 2, 2, 1]"
2152,"[3, 3, 3, 3, 1, 3]"
2783,"[0, 0, 0, 3, 3, 0]"
2505,"[1, 2, 2, 2, 2, 2, 0, 0]"
422,"[0, 0, 0, 0, 0]"
3067,"[3, 3, 3, 3, 0, 0]"
586,"[3, 3, 3, 0, 0, 0, 0, 0, 2, 2]"
58,"[1, 2, 2, 2, 2, 2, 0]"
1747,"[1, 1, 1, 3, 3, 3, 3, 3]"
3031,"[2, 2, 2, 1, 1, 3, 3, 3, 1, 1, 2, 1, 2, 2, 0]"
1175,"[2, 2, 2, 2, 2, 1]"
1474,"[2, 2, 2, 1, 1, 1, 1, 2]"
469,"[1, 1, 1, 1, 1]"
2967,"[3, 3, 3, 3, 3, 1, 0, 2, 0, 0]"
2367,"[3, 3, 3, 3, 3, 1, 1, 1]"
1017,"[2, 2, 2, 2, 2]"
478,"[3, 3, 3, 3, 1]"
1331,"[3, 3, 0, 0, 0, 0, 0, 2]"
369,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 3]"
2559,"[0, 0, 0, 2, 0, 0, 3]"
612,"[3, 3, 1, 1, 1, 1, 1, 2, 2]"
2428,"[3, 3, 3, 3, 0, 0, 0]"
2620,"[1, 1, 1, 2, 2, 2, 2]"
3178,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 3]"
165,"[3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 2]"
1457,"[1, 1, 1, 1, 2]"
2092,"[3, 2, 3, 0, 0, 0, 0, 0, 2, 2, 2]"
2,"[0, 3, 3, 3, 3, 3, 1]"
3048,"[3, 3, 3, 3, 0]"
1574,"[3, 3, 3, 3, 1, 1, 1, 1, 1]"
1677,"[0, 1, 2, 2, 2, 2, 0, 0, 0]"
1899,"[0, 0, 0, 0, 0]"
1761,"[1, 2, 2, 2, 2, 2, 0, 0, 0, 0]"
2609,"[3, 3, 1, 1, 1, 1]"
288,"[3, 3, 3, 3, 0]"
821,"[1, 1, 1, 1, 1]"
2297,"[2, 2, 2, 2, 2]"
70,"[0, 0, 0, 0]"
2800,"[1, 1, 1, 1, 1, 2, 2, 2]"
3190,"[0, 3, 0, 0, 0, 2]"
58,"[0, 2, 2, 2, 2, 2, 1]"
1934,"[2, 2, 2, 2, 1]"
1295,"[2, 0, 0, 0, 0, 3, 3, 3, 0]"
297,"[2, 2, 2, 2, 1, 1]"
2851,"[2, 2, 2, 2, 2]"
2922,"[3, 3, 3, 3]"
694,"[0, 0, 3, 0, 0, 0, 2, 2]"
290,"[3, 3, 3, 3, 3, 0]"
2213,"[2, 2, 0, 2, 2, 1, 2]"
188,"[2, 2, 2, 2, 2]"
171,"[1, 1, 1, 3, 3, 3, 3, 1]"
228,"[0, 0, 0, 3, 3, 3, 3, 0]"
1917,"[0, 0, 2, 2, 2, 0, 0, 0]"
2764,"[3, 3, 3, 0, 3]"
1438,"[1, 1, 1, 1, 1, 3]"
425,"[3, 3, 0, 3, 3, 3, 0, 0, 0, 0]"
1877,"[2, 0, 0, 0, 0]"
2757,"[1, 1, 2, 2, 1, 1, 3]"
1480,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 3]"
12,"[2, 2, 2, 2, 0, 0, 0, 0, 0]"
1789,"[3, 0, 0, 0, 0, 0]"
2919,"[2, 0, 0, 0, 3, 0, 0]"
2289,"[3, 3, 3, 3, 3, 0, 0, 0, 1, 1, 1, 0, 0]"
2148,"[2, 2, 0, 0, 0, 0, 0]"
2773,"[3, 3, 1, 1, 1, 1, 1]"
1125,"[1, 1, 1, 1, 3]"
420,"[0, 0, 0, 0, 0, 3, 3, 3]"
2922,"[1, 1, 3, 3, 3, 3, 0, 0]"
2588,"[0, 0, 0, 0, 3]"
2179,"[1, 2, 2, 1, 1, 1, 3, 3, 1]"
1263,"[2, 2, 2, 2, 2]"
2207,"[1, 1, 1, 1, 1]"
2752,"[2, 2, 2, 2, 2, 0, 0]"
606,"[0, 2, 2, 2, 2, 1, 1]"
873,"[3, 3, 3, 3, 3, 1, 1]"
1489,"[3, 1, 1, 3, 3, 3, 0, 0, 0]"
2882,"[0, 1, 3, 3, 0, 3, 3, 1]"
3089,"[2, 2, 2, 2, 1, 1, 1, 1, 1]"
1170,"[2, 1, 1, 1, 1]"
2264,"[2, 2, 0, 0, 0, 0, 0]"
162,"[1, 1, 1, 1, 3, 3, 3, 3, 2, 1]"
3067,"[1, 3, 3, 3, 3, 0, 0, 0]"
